Title,Genre,quarter_new
Altered Carbon,Science fiction,Q1 - 2018
Seven Seconds,Crime drama,Q1 - 2018
Lost in Space,Science fiction,Q2 - 2018
Insatiable,Dark comedy-drama,Q3 - 2018
The Innocents,Supernatural fiction,Q3 - 2018
The Good Cop,Police procedural comedy-drama,Q3 - 2018
The Haunting,Horror anthology,Q4 - 2018
Chilling Adventures of Sabrina,Supernatural coming-of-age horror,Q4 - 2018
Narcos: Mexico,Crime drama,Q4 - 2018
Tidelands,Supernatural crime drama,Q4 - 2018
The Umbrella Academy,Superhero action,Q1 - 2019
The Order,Supernatural horror drama,Q1 - 2019
Shadow,Thriller,Q1 - 2019
Black Summer,Zombie drama,Q2 - 2019
Chambers,Teen psychological thriller,Q2 - 2019
The Society,Mystery drama,Q2 - 2019
What/If,Social thriller anthology,Q2 - 2019
When They See Us,Drama,Q2 - 2019
Trinkets,Coming-of-age drama,Q2 - 2019
Another Life,Science-fiction,Q3 - 2019
The Dark Crystal: Age of Resistance,Fantasy,Q3 - 2019
Everything Sucks!,Coming-of-age comedy,Q1 - 2018
On My Block,Coming-of-age comedy,Q1 - 2018
All About the Washingtons,Comedy,Q3 - 2018
Maniac,Dark comedy,Q3 - 2018
The Kominsky Method,Comedy,Q4 - 2018
Sex Education,Coming-of-age comedy-drama,Q1 - 2019
Russian Doll,Comedy,Q1 - 2019
After Life,Comedy,Q1 - 2019
Turn Up Charlie,Comedy,Q1 - 2019
Huge in France,Comedy,Q2 - 2019
Special,Comedy,Q2 - 2019
Lunatics,Comedy,Q2 - 2019
I Think You Should Leave with Tim Robinson,Sketch comedy,Q2 - 2019
Bonding,Dark comedy,Q2 - 2019
Dead to Me,Dark comedy-drama,Q2 - 2019
It's Bruno!,Comedy,Q2 - 2019
Mr. Iglesias,Comedy,Q2 - 2019
Family Reunion[64],Comedy,Q3 - 2019
The Politician,Comedy,Q3 - 2019
Disenchantment,Medieval fantasy comedy,Q3 - 2018
Paradise PD,Comedy,Q3 - 2018
Super Drags,Superhero-LGBT comedy,Q4 - 2018
"Love, Death & Robots",Anthology,Q1 - 2019
Trailer Park Boys: The Animated Series,Mockumentary,Q1 - 2019
Tuca & Bertie,Comedy,Q2 - 2019
Devilman Crybaby,Supernatural horror,Q1 - 2018
B: The Beginning,Suspense,Q1 - 2018
A.I.C.O. -Incarnation-,Science fiction,Q1 - 2018
Sword Gai: The Animation,Supernatural,Q1 - 2018
Lost Song,Musical fantasy,Q1 - 2018
Aggretsuko,Comedy,Q2 - 2018
Baki,Martial arts,Q2 - 2018
Hero Mask,Crime,Q4 - 2018
Ultraman,Science fiction,Q2 - 2019
Rilakkuma and Kaoru,Stop motion slice of life,Q2 - 2019
7 Seeds,Science fiction,Q2 - 2019
Knights of the Zodiac: Saint Seiya,Action,Q3 - 2019
Kengan Ashura,Action,Q3 - 2019
Trolls: The Beat Goes On!,childrens-animation,Q1 - 2018
Llama Llama,childrens-animation,Q1 - 2018
Luna Petunia: Return to Amazia,childrens-animation,Q1 - 2018
The Boss Baby: Back in Business,childrens-animation,Q2 - 2018
Spy Kids: Mission Critical,childrens-animation,Q2 - 2018
The Hollow,childrens-animation,Q2 - 2018
True: Magical Friends,childrens-animation,Q2 - 2018
True: Wonderful Wishes,childrens-animation,Q2 - 2018
Harvey Girls Forever!,childrens-animation,Q2 - 2018
The Epic Tales of Captain Underpants,childrens-animation,Q3 - 2018
Cupcake & Dino: General Services,childrens-animation,Q3 - 2018
The Dragon Prince,childrens-animation,Q3 - 2018
Hilda,childrens-animation,Q3 - 2018
Larva Island,childrens-animation,Q4 - 2018
She-Ra and the Princesses of Power,childrens-animation,Q4 - 2018
Kulipari: Dream Walker,childrens-animation,Q4 - 2018
Motown Magic,childrens-animation,Q4 - 2018
3Below: Tales of Arcadia,childrens-animation,Q4 - 2018
Pinky Malinky,childrens-animation,Q1 - 2019
Carmen Sandiego,childrens-animation,Q1 - 2019
YooHoo to the Rescue,childrens-animation,Q1 - 2019
Charlie's Colorforms City,childrens-animation,Q1 - 2019
Mighty Little Bheem,childrens-animation,Q2 - 2019
Super Monsters Monster Pets,childrens-animation,Q2 - 2019
Dance & Sing with True,chrildrens musical short,Q2 - 2018
Super Monsters Monster Party,chrildrens musical short,Q3 - 2018
True Tunes,chrildrens musical short,Q3 - 2019
Alexa & Katie,Sitcom,Q1 - 2018
The Who Was? Show,Educational,Q2 - 2018
The Ponysitters Club,Drama,Q3 - 2018
