Title,Genre,Years,Area,Revenue,Subscribers
Altered Carbon,Science fiction,Q1 - 2018,United States and Canada,1976157000,60909000
Seven Seconds,Crime drama,Q1 - 2018,United States and Canada,1976157000,60909000
Everything Sucks!,Coming-of-age comedy,Q1 - 2018,United States and Canada,1976157000,60909000
On My Block,Coming-of-age comedy,Q1 - 2018,United States and Canada,1976157000,60909000
Devilman Crybaby,Supernatural horror,Q1 - 2018,United States and Canada,1976157000,60909000
B: The Beginning,Suspense,Q1 - 2018,United States and Canada,1976157000,60909000
A.I.C.O. -Incarnation-,Science fiction,Q1 - 2018,United States and Canada,1976157000,60909000
Sword Gai: The Animation,Supernatural,Q1 - 2018,United States and Canada,1976157000,60909000
Lost Song,Musical fantasy,Q1 - 2018,United States and Canada,1976157000,60909000
Trolls: The Beat Goes On!,childrens-animation,Q1 - 2018,United States and Canada,1976157000,60909000
Llama Llama,childrens-animation,Q1 - 2018,United States and Canada,1976157000,60909000
Luna Petunia: Return to Amazia,childrens-animation,Q1 - 2018,United States and Canada,1976157000,60909000
Alexa & Katie,Sitcom,Q1 - 2018,United States and Canada,1976157000,60909000
Edha,Drama,Q1 - 2018,United States and Canada,1976157000,60909000
The Mechanism,Crime drama,Q1 - 2018,United States and Canada,1976157000,60909000
Rotten,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Somebody Feed Phil,Travel documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Drug Lords,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Dirty Money,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Coach Snoop,Sport,Q1 - 2018,United States and Canada,1976157000,60909000
First Team: Juventus,Sport,Q1 - 2018,United States and Canada,1976157000,60909000
Ugly Delicious,Travel documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Flint Town,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Girls Incarcerated,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Wild Wild Country,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Rapture,Documentary,Q1 - 2018,United States and Canada,1976157000,60909000
Queer Eye,Makeover reality,Q1 - 2018,United States and Canada,1976157000,60909000
Nailed It!,Competition,Q1 - 2018,United States and Canada,1976157000,60909000
My Next Guest Needs No Introduction with David Letterman,Interview,Q1 - 2018,United States and Canada,1976157000,60909000
The Joel McHale Show with Joel McHale,Comedy,Q1 - 2018,United States and Canada,1976157000,60909000
Lost in Space,Science fiction,Q2 - 2018,United States and Canada,2049546000,61870000
Aggretsuko,Comedy,Q2 - 2018,United States and Canada,2049546000,61870000
Baki,Martial arts,Q2 - 2018,United States and Canada,2049546000,61870000
The Boss Baby: Back in Business,childrens-animation,Q2 - 2018,United States and Canada,2049546000,61870000
Spy Kids: Mission Critical,childrens-animation,Q2 - 2018,United States and Canada,2049546000,61870000
The Hollow,childrens-animation,Q2 - 2018,United States and Canada,2049546000,61870000
True: Magical Friends,childrens-animation,Q2 - 2018,United States and Canada,2049546000,61870000
True: Wonderful Wishes,childrens-animation,Q2 - 2018,United States and Canada,2049546000,61870000
Harvey Girls Forever!,childrens-animation,Q2 - 2018,United States and Canada,2049546000,61870000
Dance & Sing with True,chrildrens musical short,Q2 - 2018,United States and Canada,2049546000,61870000
The Who Was? Show,Educational,Q2 - 2018,United States and Canada,2049546000,61870000
The Rain,Post-apocalyptic drama,Q2 - 2018,United States and Canada,2049546000,61870000
Club de Cuervos Presents: The Ballad of Hugo Sánchez,Comedy,Q2 - 2018,United States and Canada,2049546000,61870000
Bobby Kennedy for President,History,Q2 - 2018,United States and Canada,2049546000,61870000
Evil Genius: The True Story of America's Most Diabolical Bank Heist,True crime,Q2 - 2018,United States and Canada,2049546000,61870000
Explained,Docu-series,Q2 - 2018,United States and Canada,2049546000,61870000
November 13: Attack on Paris,Documentary,Q2 - 2018,United States and Canada,2049546000,61870000
Fastest Car,Motoring television series,Q2 - 2018,United States and Canada,2049546000,61870000
Cooking on High,Cooking show,Q2 - 2018,United States and Canada,2049546000,61870000
A Little Help with Carol Burnett,Variety show,Q2 - 2018,United States and Canada,2049546000,61870000
Busted!,Korean language variety show,Q2 - 2018,United States and Canada,2049546000,61870000
The Break with Michelle Wolf,Late-night,Q2 - 2018,United States and Canada,2049546000,61870000
Insatiable,Dark comedy-drama,Q3 - 2018,United States and Canada,2094850000,63010000
The Innocents,Supernatural fiction,Q3 - 2018,United States and Canada,2094850000,63010000
The Good Cop,Police procedural comedy-drama,Q3 - 2018,United States and Canada,2094850000,63010000
All About the Washingtons,Comedy,Q3 - 2018,United States and Canada,2094850000,63010000
Maniac,Dark comedy,Q3 - 2018,United States and Canada,2094850000,63010000
Disenchantment,Medieval fantasy comedy,Q3 - 2018,United States and Canada,2094850000,63010000
Paradise PD,Comedy,Q3 - 2018,United States and Canada,2094850000,63010000
The Epic Tales of Captain Underpants,childrens-animation,Q3 - 2018,United States and Canada,2094850000,63010000
Cupcake & Dino: General Services,childrens-animation,Q3 - 2018,United States and Canada,2094850000,63010000
The Dragon Prince,childrens-animation,Q3 - 2018,United States and Canada,2094850000,63010000
Hilda,childrens-animation,Q3 - 2018,United States and Canada,2094850000,63010000
Super Monsters Monster Party,chrildrens musical short,Q3 - 2018,United States and Canada,2094850000,63010000
The Ponysitters Club,Drama,Q3 - 2018,United States and Canada,2094850000,63010000
Sacred Games,Drama,Q3 - 2018,United States and Canada,2094850000,63010000
Samantha!,Comedy,Q3 - 2018,United States and Canada,2094850000,63010000
Jimmy: The True Story of a True Idiot,Comedy,Q3 - 2018,United States and Canada,2094850000,63010000
Switched,Science fiction,Q3 - 2018,United States and Canada,2094850000,63010000
The House of Flowers,Comedy,Q3 - 2018,United States and Canada,2094850000,63010000
Ghoul,Horror miniseries,Q3 - 2018,United States and Canada,2094850000,63010000
Dark Tourist,Travel documentary,Q3 - 2018,United States and Canada,2094850000,63010000
Marching Orders,Docu-series,Q3 - 2018,United States and Canada,2094850000,63010000
72 Dangerous Animals: Asia,Nature,Q3 - 2018,United States and Canada,2094850000,63010000
Afflicted,Docu-series,Q3 - 2018,United States and Canada,2094850000,63010000
Follow This,Docu-series,Q3 - 2018,United States and Canada,2094850000,63010000
Boca Juniors Confidential,Docu-series,Q3 - 2018,United States and Canada,2094850000,63010000
Sugar Rush,Baking competition,Q3 - 2018,United States and Canada,2094850000,63010000
Amazing Interiors,Reality,Q3 - 2018,United States and Canada,2094850000,63010000
Magic for Humans,Reality,Q3 - 2018,United States and Canada,2094850000,63010000
Stay Here,Reality,Q3 - 2018,United States and Canada,2094850000,63010000
First and Last,Reality,Q3 - 2018,United States and Canada,2094850000,63010000
Car Masters: Rust to Riches,Motoring television series,Q3 - 2018,United States and Canada,2094850000,63010000
Battlefish,Reality,Q3 - 2018,United States and Canada,2094850000,63010000
Made In Mexico,Spanish language reality series,Q3 - 2018,United States and Canada,2094850000,63010000
Norm Macdonald Has a Show,Talk show,Q3 - 2018,United States and Canada,2094850000,63010000
The Haunting,Horror anthology,Q4 - 2018,United States and Canada,2160979000,64757000
Chilling Adventures of Sabrina,Supernatural coming-of-age horror,Q4 - 2018,United States and Canada,2160979000,64757000
Narcos: Mexico,Crime drama,Q4 - 2018,United States and Canada,2160979000,64757000
Tidelands,Supernatural crime drama,Q4 - 2018,United States and Canada,2160979000,64757000
The Kominsky Method,Comedy,Q4 - 2018,United States and Canada,2160979000,64757000
Super Drags,Superhero-LGBT comedy,Q4 - 2018,United States and Canada,2160979000,64757000
Hero Mask,Crime,Q4 - 2018,United States and Canada,2160979000,64757000
Larva Island,childrens-animation,Q4 - 2018,United States and Canada,2160979000,64757000
She-Ra and the Princesses of Power,childrens-animation,Q4 - 2018,United States and Canada,2160979000,64757000
Kulipari: Dream Walker,childrens-animation,Q4 - 2018,United States and Canada,2160979000,64757000
Motown Magic,childrens-animation,Q4 - 2018,United States and Canada,2160979000,64757000
3Below: Tales of Arcadia,childrens-animation,Q4 - 2018,United States and Canada,2160979000,64757000
Best.Worst.Weekend.Ever.,Comedy,Q4 - 2018,United States and Canada,2160979000,64757000
Brainchild,Educational,Q4 - 2018,United States and Canada,2160979000,64757000
Prince of Peoria,Sitcom,Q4 - 2018,United States and Canada,2160979000,64757000
YG Future Strategy Office,Comedy,Q4 - 2018,United States and Canada,2160979000,64757000
Élite,Crime teen drama,Q4 - 2018,United States and Canada,2160979000,64757000
Wild District,Crime drama,Q4 - 2018,United States and Canada,2160979000,64757000
1983,Spy thriller,Q4 - 2018,United States and Canada,2160979000,64757000
